Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,SNF,SUN AFT,SUN 1PM,SUN AFT,THU,MNF,SNF,SUN AFT,BYE,SUN AFT,SUN 1PM,SUN 1PM,SUN AFT,SUN 1PM,SUN AFT,SAT,SUN AFT
ATL,SUN 1PM,SUN AFT,MNF,SUN 1PM,SUN AFT,SUN AFT,SUN AFT,SUN 1PM,THU,SUN 1PM,BYE,SUN 1PM,SUN 1PM,SUN AFT,SUN AFT,SAT,SUN 1PM
BAL,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,BYE,SUN 1PM,THU,SUN 1PM,SUN 1PM,SUN 1PM,MNF,SUN 1PM,SUN AFT,SUN 1PM
BUF,SUN 1PM,THU,SUN 1PM,SUN 1PM,SUN AFT,SUN 1PM,SUN 1PM,SUN 1PM,MNF,BYE,SUN 1PM,SUN 1PM,SUN AFT,SUN 1PM,SUN 1PM,SAT,SUN 1PM
CAR,THU,SUN 1PM,SUN 1PM,SUN 1PM,MNF,SUN 1PM,BYE,SUN AFT,SUN AFT,SUN 1PM,THU,SUN AFT,SNF,SUN 1PM,MNF,SAT,SUN 1PM
CHI,SUN 1PM,MNF,SNF,SUN 1PM,SUN 1PM,SUN 1PM,THU,MNF,BYE,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SAT,SUN 1PM
CIN,SUN 1PM,SUN 1PM,SUN 1PM,THU,SUN AFT,SUN 1PM,SUN 1PM,INTL,BYE,MNF,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SNF,SAT,SUN 1PM
CLE,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,THU,SUN 1PM,SUN 1PM,BYE,SUN 1PM,SUN 1PM,SAT,SUN 1PM
DAL,SUN AFT,SUN 1PM,SNF,SUN AFT,SUN AFT,SUN AFT,BYE,SNF,SUN 1PM,SUN AFT,SUN 1PM,THU,THU,SNF,SUN 1PM,MNF,SUN 1PM
DEN,THU,SUN AFT,SUN 1PM,SUN AFT,SUN AFT,THU,MNF,SUN AFT,SNF,SUN 1PM,BYE,SUN AFT,SUN 1PM,SUN 1PM,SUN AFT,SNF,SUN AFT
DET,SUN AFT,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,BYE,SUN 1PM,THU,SUN 1PM,SUN 1PM,SUN 1PM,MNF,SUN 1PM
GB,SUN 1PM,SNF,SUN 1PM,BYE,SNF,SUN AFT,THU,SUN 1PM,SUN AFT,SUN 1PM,SNF,MNF,SUN 1PM,SUN AFT,SUN 1PM,SAT,SUN 1PM
HOU,SUN 1PM,SUN 1PM,THU,SUN 1PM,SUN 1PM,SNF,MNF,SUN 1PM,BYE,SUN 1PM,MNF,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SAT,SUN 1PM
IND,SUN AFT,SUN AFT,SUN AFT,INTL,SUN 1PM,SNF,SUN 1PM,SUN 1PM,SUN AFT,BYE,SUN 1PM,THU,MNF,SUN 1PM,SUN 1PM,SAT,SUN 1PM
JAX,SUN 1PM,SUN AFT,SUN 1PM,INTL,BYE,SUN 1PM,SUN 1PM,THU,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SAT,SUN 1PM
KC,SUN 1PM,SUN 1PM,SUN AFT,SNF,BYE,SUN AFT,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN AFT,SUN 1PM,THU,SUN 1PM,SNF,SUN AFT
LA,MNF,SUN AFT,SUN AFT,SUN AFT,SUN AFT,SUN 1PM,INTL,BYE,SUN AFT,SUN 1PM,SUN AFT,SUN 1PM,SUN 1PM,SUN AFT,THU,SAT,SUN AFT
MIA,SUN AFT,SUN 1PM,SUN 1PM,THU,SUN 1PM,SUN 1PM,SUN 1PM,BYE,SUN 1PM,SUN AFT,SUN AFT,SUN 1PM,SUN 1PM,SUN 1PM,SAT,SAT,SUN 1PM
MIN,SUN 1PM,SNF,SUN 1PM,MNF,SUN 1PM,BYE,SUN 1PM,MNF,SUN 1PM,SUN 1PM,SUN 1PM,THU,THU,SUN 1PM,SUN 1PM,SAT,SUN 1PM
NE,SNF,SUN 1PM,THU,SUN 1PM,SUN 1PM,SUN 1PM,SUN AFT,SUN 1PM,BYE,SNF,SUN AFT,SNF,SUN 1PM,MNF,SUN AFT,SAT,SUN 1PM
NO,SUN 1PM,SUN 1PM,MNF,SUN AFT,BYE,SUN 1PM,SUN 1PM,SUN 1PM,SUN AFT,SUN 1PM,THU,SUN 1PM,SUN 1PM,SUN 1PM,SUN AFT,SAT,SUN 1PM
NYG,SUN AFT,SUN 1PM,SUN 1PM,MNF,SNF,SUN 1PM,INTL,BYE,SUN 1PM,MNF,SUN 1PM,SUN 1PM,SUN AFT,SNF,SUN 1PM,THU,SUN 1PM
NYJ,SUN 1PM,THU,SUN AFT,SUN 1PM,SUN 1PM,MNF,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,BYE,SNF,MNF,SUN AFT,SAT,SAT,SUN 1PM
OAK,SUN 1PM,SUN AFT,SUN 1PM,SUN 1PM,SUN AFT,SUN AFT,SUN 1PM,SUN 1PM,SNF,BYE,MNF,SUN AFT,SUN AFT,THU,SUN AFT,SAT,SUN AFT
PHI,SUN 1PM,MNF,SUN AFT,BYE,SUN 1PM,SUN 1PM,SUN 1PM,SNF,SUN 1PM,SUN 1PM,SUN AFT,MNF,SUN 1PM,SUN 1PM,SUN 1PM,THU,SUN 1PM
PIT,MNF,SUN 1PM,SUN AFT,SNF,SUN 1PM,SUN 1PM,SUN AFT,BYE,SUN 1PM,SUN AFT,SUN 1PM,THU,SUN AFT,SUN 1PM,SNF,SUN AFT,SUN 1PM
SD,SUN 1PM,SUN AFT,SUN AFT,SUN AFT,SUN AFT,THU,SUN AFT,SUN AFT,SUN AFT,SUN AFT,BYE,SUN 1PM,SUN AFT,SUN 1PM,SUN AFT,SAT,SUN AFT
SEA,SUN AFT,SUN AFT,SUN AFT,SUN 1PM,BYE,SUN AFT,SNF,SUN 1PM,MNF,SNF,SUN AFT,SUN AFT,SNF,SUN AFT,THU,SAT,SUN AFT
SF,MNF,SUN 1PM,SUN AFT,SUN AFT,THU,SUN 1PM,SUN AFT,BYE,SUN AFT,SUN AFT,SUN AFT,SUN 1PM,SUN 1PM,SUN AFT,SUN AFT,SAT,SUN AFT
TB,SUN 1PM,SUN AFT,SUN AFT,SUN AFT,MNF,BYE,SUN AFT,SUN 1PM,THU,SUN 1PM,SUN 1PM,SUN AFT,SUN AFT,SUN 1PM,SUN 1PM,SAT,SUN 1PM
TEN,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,THU,SUN AFT,SUN 1PM,SUN 1PM,SUN 1PM,BYE,SUN 1PM,SUN 1PM,SAT,SUN 1PM
WAS,MNF,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,SUN 1PM,INTL,BYE,SUN 1PM,SNF,THU,SUN AFT,SUN 1PM,MNF,SAT,SUN 1PM
