"Home","Away","Week","Time"
"ARI","NE",1,"SNF"
"ATL","TB",1,"SUN 1PM"
"BAL","BUF",1,"SUN 1PM"
"DAL","NYG",1,"SUN AFT"
"DEN","CAR",1,"THU"
"HOU","CHI",1,"SUN 1PM"
"IND","DET",1,"SUN AFT"
"JAX","GB",1,"SUN 1PM"
"KC","SD",1,"SUN 1PM"
"NO","OAK",1,"SUN 1PM"
"NYJ","CIN",1,"SUN 1PM"
"PHI","CLE",1,"SUN 1PM"
"SEA","MIA",1,"SUN AFT"
"SF","LA",1,"MNF"
"TEN","MIN",1,"SUN 1PM"
"WAS","PIT",1,"MNF"
"ARI","TB",2,"SUN AFT"
"BUF","NYJ",2,"THU"
"CAR","SF",2,"SUN 1PM"
"CHI","PHI",2,"MNF"
"CLE","BAL",2,"SUN 1PM"
"DEN","IND",2,"SUN AFT"
"DET","TEN",2,"SUN 1PM"
"HOU","KC",2,"SUN 1PM"
"LA","SEA",2,"SUN AFT"
"MIN","GB",2,"SNF"
"NE","MIA",2,"SUN 1PM"
"NYG","NO",2,"SUN 1PM"
"OAK","ATL",2,"SUN AFT"
"PIT","CIN",2,"SUN 1PM"
"SD","JAX",2,"SUN AFT"
"WAS","DAL",2,"SUN 1PM"
"BUF","ARI",3,"SUN 1PM"
"CAR","MIN",3,"SUN 1PM"
"CIN","DEN",3,"SUN 1PM"
"DAL","CHI",3,"SNF"
"GB","DET",3,"SUN 1PM"
"IND","SD",3,"SUN AFT"
"JAX","BAL",3,"SUN 1PM"
"KC","NYJ",3,"SUN AFT"
"MIA","CLE",3,"SUN 1PM"
"NE","HOU",3,"THU"
"NO","ATL",3,"MNF"
"NYG","WAS",3,"SUN 1PM"
"PHI","PIT",3,"SUN AFT"
"SEA","SF",3,"SUN AFT"
"TB","LA",3,"SUN AFT"
"TEN","OAK",3,"SUN 1PM"
"ARI","LA",4,"SUN AFT"
"ATL","CAR",4,"SUN 1PM"
"BAL","OAK",4,"SUN 1PM"
"CHI","DET",4,"SUN 1PM"
"CIN","MIA",4,"THU"
"HOU","TEN",4,"SUN 1PM"
"IND","JAX",4,"INTL"
"MIN","NYG",4,"MNF"
"NE","BUF",4,"SUN 1PM"
